t,obs.shoulder_pan.pos,obs.shoulder_lift.pos,obs.elbow_flex.pos,obs.wrist_flex.pos,obs.wrist_roll.pos,obs.gripper.pos,cmd.shoulder_pan.pos,cmd.shoulder_lift.pos,cmd.elbow_flex.pos,cmd.wrist_flex.pos,cmd.wrist_roll.pos,cmd.gripper.pos,act.ee.x,act.ee.y,act.ee.z,act.ee.wx,act.ee.wy,act.ee.wz,act.ee.gripper_pos
16.0348,-0.352,-97.802,96.088,9.275,-81.363,7.57,1.098,-51.653,88.495,-28.819,-81.875,4.655,0.2626,0.0036,0.1174,1.2466,1.3466,1.0647,4.6546
16.0786,-0.088,-98.593,96.0,10.505,-81.89,7.57,1.059,-100.0,95.005,14.784,-81.292,6.154,0.2429,0.0025,0.1133,1.2452,1.3868,1.0646,6.1538
16.1017,0.176,-98.154,94.681,10.505,-82.066,7.57,1.139,-100.0,88.832,23.645,-79.083,7.198,0.2394,0.0046,0.1199,1.2674,1.3997,0.9737,7.1982
16.1351,0.352,-97.363,93.187,10.242,-81.89,7.769,0.9,-95.49,95.355,8.265,-80.172,7.493,0.2473,0.003,0.1156,1.2111,1.3815,1.0641,7.4928
16.1788,0.44,-97.802,92.044,11.297,-81.187,8.3,0.174,-74.838,89.32,-5.478,-81.888,8.334,0.2566,0.0054,0.1209,1.2353,1.3924,1.0918,8.3336
16.202,0.44,-98.242,92.044,12.0,-80.571,8.367,0.061,-55.422,91.494,-29.171,-82.883,8.191,0.2686,0.0042,0.1157,1.2074,1.3781,1.1478,8.191
16.2355,0.352,-97.626,92.22,11.297,-80.747,8.632,-0.615,-90.685,95.956,2.571,-83.578,9.514,0.2503,0.0123,0.1139,1.2754,1.316,1.0669,9.5142
16.2795,0.088,-95.341,92.22,9.011,-81.714,8.632,-0.17,-67.467,86.399,-10.45,-81.568,9.156,0.2597,0.0079,0.1261,1.234,1.374,1.0751,9.1559
16.3024,-0.176,-92.352,92.659,6.022,-82.418,9.031,0.709,-81.132,92.459,-3.788,-83.094,9.232,0.2539,0.0042,0.1191,1.2467,1.3457,1.1005,9.2316
16.3356,-0.176,-89.187,93.363,3.121,-82.154,9.163,-0.501,-67.397,88.774,-11.832,-83.119,10.281,0.2588,0.0101,0.1165,1.2738,1.3662,1.0738,10.2806
16.3795,0.0,-85.495,93.363,0.132,-81.89,9.23,0.178,-75.17,91.236,-8.256,-83.48,10.1,0.2559,0.0081,0.1183,1.2689,1.3241,1.0763,10.1
16.8701,-0.176,-75.473,92.396,-7.78,-83.209,9.894,0.114,-97.103,92.87,10.232,-82.596,4.544,0.2481,0.0072,0.1299,1.2236,1.3249,1.1009,4.544
16.8925,-0.176,-75.473,92.396,-7.78,-83.209,9.894,-0.178,-100.0,92.04,12.91,-81.559,5.582,0.2339,0.0067,0.1396,1.1981,1.3555,1.1071,5.582
16.9255,-0.176,-76.176,92.571,-7.253,-83.121,9.562,0.199,-97.186,91.5,11.628,-83.365,5.866,0.249,0.0075,0.1331,1.2404,1.3069,1.0984,5.8659
16.9588,0.0,-78.462,93.011,-5.055,-82.681,8.699,1.172,-85.961,86.819,10.077,-79.231,5.157,0.2531,0.0023,0.124,1.2374,1.418,1.0212,5.1565
17.0009,0.088,-82.593,92.747,-0.835,-82.681,8.367,2.344,-100.0,87.3,22.23,-82.759,4.468,0.243,-0.0031,0.1341,1.272,1.3665,1.0793,4.4684
17.0257,0.088,-87.341,92.396,3.824,-82.857,8.367,2.024,-88.646,87.453,9.33,-80.085,5.234,0.2506,-0.0026,0.1315,1.2069,1.3902,1.0771,5.2339
17.059,0.967,-91.824,91.165,8.396,-82.769,8.3,1.209,-97.457,92.057,10.523,-81.036,4.57,0.2465,0.0041,0.1325,1.2104,1.2992,1.06,4.5702
17.0923,1.319,-95.604,90.549,13.231,-82.33,8.3,2.589,-83.997,89.933,1.142,-81.745,4.796,0.2532,-0.0025,0.1275,1.2434,1.3223,1.0608,4.7957
17.1348,1.231,-97.275,90.725,16.659,-81.714,8.3,-1.252,-72.857,81.495,4.723,-82.855,5.054,0.2536,0.0124,0.1268,1.3073,1.4303,1.0484,5.0544
17.1592,1.495,-96.659,90.813,18.154,-81.538,8.3,-0.033,-93.377,87.552,16.338,-83.645,4.793,0.2452,0.0066,0.127,1.2817,1.3916,1.0948,4.7935
17.1925,1.846,-94.198,90.549,17.802,-82.33,8.3,-0.576,-83.367,92.693,-2.979,-81.145,4.566,0.2557,0.0103,0.1223,1.2076,1.3387,1.0691,4.5664
17.235,1.231,-90.945,89.758,16.923,-82.681,8.3,-0.432,-75.852,86.418,-0.426,-83.02,5.259,0.2569,0.0093,0.1239,1.2765,1.3781,1.0689,5.2592
17.2594,0.44,-88.22,90.022,15.077,-82.418,8.3,0.546,-86.28,88.669,6.169,-80.496,5.58,0.2526,0.0067,0.1262,1.238,1.3562,1.0296,5.5796
17.2927,0.264,-85.055,90.374,11.736,-81.89,8.3,0.895,-81.259,84.822,7.002,-80.212,4.916,0.2544,0.0053,0.1277,1.2611,1.3813,1.0068,4.9164
17.3364,0.176,-81.89,89.934,8.396,-81.363,8.3,0.871,-79.361,87.313,1.265,-81.718,5.911,0.2563,0.0054,0.1247,1.2672,1.3494,1.0345,5.9114
17.3596,0.352,-80.132,89.055,5.934,-81.099,8.3,0.114,-73.759,84.472,-0.832,-82.924,4.439,0.2593,0.0072,0.127,1.2757,1.3722,1.0703,4.4388
17.3933,0.352,-79.604,88.0,4.264,-81.363,8.3,0.539,-100.0,93.3,16.802,-82.543,4.281,0.2348,0.0055,0.1196,1.2687,1.3635,1.0665,4.2806
17.4367,0.44,-79.78,87.56,2.681,-82.066,8.3,-0.585,-63.411,83.181,-11.297,-83.303,6.108,0.266,0.0088,0.1289,1.2471,1.3751,1.114,6.1079
17.4598,0.44,-80.132,87.736,1.451,-82.242,8.234,-1.938,-62.541,84.729,-14.242,-84.015,5.062,0.2662,0.0174,0.1265,1.271,1.3274,1.0812,5.0623
17.4931,0.088,-80.835,88.0,0.484,-82.681,8.234,-1.621,-77.442,86.192,2.213,-83.639,5.288,0.2557,0.0155,0.1221,1.2983,1.378,1.0618,5.2875
17.5371,-0.703,-80.396,87.648,-2.066,-83.209,8.234,-2.101,-87.73,91.702,6.083,-80.966,5.051,0.2489,0.0169,0.1163,1.2432,1.3986,1.0484,5.0511
17.56,-1.055,-78.989,87.385,-4.615,-83.297,8.234,-0.542,-78.545,91.986,-4.33,-84.149,5.92,0.2551,0.0099,0.1141,1.2788,1.358,1.0966,5.9201
17.5936,-1.582,-78.549,87.912,-5.846,-82.945,8.234,-1.065,-83.088,89.581,4.33,-83.132,5.536,0.2527,0.0115,0.1172,1.2762,1.4017,1.081,5.5363
17.6379,-1.319,-78.725,89.758,-5.319,-82.242,8.234,-2.864,-65.177,88.187,-13.67,-86.354,4.688,0.2618,0.0187,0.1161,1.2876,1.3768,1.155,4.6883
17.6612,-1.407,-79.429,91.341,-3.121,-82.857,8.234,-2.708,-84.471,89.229,5.673,-82.38,5.919,0.2513,0.0205,0.1196,1.273,1.3801,1.0446,5.9192
17.6938,-2.022,-80.747,91.341,-0.22,-83.824,8.234,-2.658,-89.312,89.928,10.641,-81.763,5.672,0.2481,0.0195,0.1179,1.267,1.4059,1.0405,5.6723
17.7271,-2.022,-81.802,91.077,2.418,-84.967,8.234,-1.396,-84.132,88.561,6.208,-84.851,4.931,0.2516,0.0137,0.1208,1.3046,1.3736,1.0905,4.9314
17.7709,-2.198,-84.0,90.989,5.055,-84.615,8.234,-2.159,-76.669,90.396,-3.262,-85.418,6.174,0.2546,0.0157,0.1137,1.2952,1.3906,1.1235,6.1744
17.794,-2.198,-86.374,90.989,7.429,-84.0,8.234,-1.41,-76.909,87.942,1.263,-82.64,5.61,0.2538,0.0137,0.1144,1.291,1.4173,1.052,5.6105
17.8274,-2.11,-87.253,90.989,8.132,-84.44,8.234,-1.741,-72.964,86.631,-2.22,-83.311,5.436,0.2564,0.0145,0.1183,1.2825,1.4131,1.0813,5.4357
17.8698,-1.758,-86.462,90.813,7.165,-84.791,8.234,-4.095,-64.707,86.242,-9.592,-82.62,5.741,0.2598,0.0261,0.1142,1.2806,1.414,1.0448,5.7413
17.8943,-1.758,-83.56,90.022,4.352,-84.352,8.234,-0.777,-73.661,88.124,-2.251,-83.068,5.875,0.2561,0.0123,0.1126,1.3112,1.3886,1.0332,5.8745
17.9275,-2.198,-78.989,89.319,0.484,-83.648,8.234,-1.445,-76.934,88.173,0.485,-84.647,6.06,0.2548,0.0127,0.1152,1.3034,1.409,1.1,6.0597
17.9715,-3.165,-74.066,89.231,-3.297,-83.736,8.234,-0.215,-73.958,89.227,-4.463,-84.335,5.576,0.2568,0.009,0.1136,1.3079,1.3702,1.076,5.5756
17.9948,-2.901,-70.462,89.319,-6.022,-83.912,8.234,-1.581,-54.782,80.604,-12.642,-82.581,5.773,0.2692,0.0149,0.1156,1.2983,1.4323,1.0459,5.7732
18.028,-1.67,-68.176,89.319,-6.901,-84.088,8.234,-0.515,-68.605,88.451,-9.794,-83.057,6.142,0.2603,0.0111,0.1142,1.2854,1.3611,1.0541,6.1415
18.0717,-1.495,-66.769,89.319,-7.165,-83.648,8.234,-1.603,-86.893,88.183,11.61,-83.755,5.722,0.2511,0.015,0.1181,1.3185,1.4072,1.0475,5.7218
18.0948,-1.319,-65.626,89.231,-7.956,-83.121,8.234,0.902,-79.519,89.337,2.78,-83.684,5.465,0.2541,0.0042,0.112,1.3283,1.3897,1.0469,5.4646
18.1281,-1.319,-65.978,89.143,-8.044,-83.473,8.234,-0.326,-93.751,93.544,10.95,-85.605,6.522,0.2458,0.0068,0.1166,1.3046,1.3934,1.1353,6.5215
18.1723,-1.055,-68.088,89.582,-6.989,-83.473,8.234,-0.622,-65.536,87.008,-10.943,-84.605,7.098,0.2625,0.0097,0.1145,1.2962,1.3833,1.1029,7.0979
18.1954,-0.791,-72.308,90.989,-3.912,-84.176,8.234,-0.51,-61.944,82.151,-6.209,-83.694,6.827,0.2642,0.0088,0.1144,1.322,1.4425,1.0678,6.8274
18.2284,-0.791,-77.495,92.484,-0.132,-84.615,8.3,0.234,-86.475,90.622,7.086,-82.995,6.621,0.251,0.0078,0.1152,1.3019,1.3738,1.0423,6.6213
18.2617,-0.703,-81.89,92.747,2.857,-84.088,8.3,-0.144,-80.752,88.321,5.213,-81.688,6.541,0.2523,0.0079,0.1135,1.2872,1.43,1.04,6.5411
18.3055,-0.44,-84.615,92.396,4.703,-83.473,8.3,0.222,-72.323,90.011,-6.841,-82.522,7.228,0.2565,0.0071,0.1114,1.2844,1.3844,1.0532,7.228
18.3286,-0.44,-85.495,91.341,4.527,-82.945,8.3,0.863,-78.298,89.502,1.882,-80.782,7.761,0.2529,0.0036,0.1088,1.2831,1.4355,1.0226,7.7606
18.362,-0.615,-84.0,90.901,3.209,-82.857,8.3,0.871,-67.763,84.601,-1.701,-81.836,8.499,0.2583,0.0052,0.1101,1.3371,1.4286,0.9876,8.4985
18.406,-0.088,-81.626,90.901,1.451,-82.769,8.433,0.072,-84.724,91.753,3.149,-84.884,9.646,0.2508,0.0077,0.1149,1.3093,1.355,1.0866,9.6463
18.4288,0.176,-78.725,90.462,0.396,-82.505,8.765,0.491,-73.702,87.963,-1.717,-80.56,10.665,0.256,0.0055,0.1114,1.2752,1.4271,1.0199,10.665
18.4623,0.176,-75.209,89.758,0.396,-83.033,9.23,0.52,-69.827,87.553,-6.398,-81.156,10.729,0.2593,0.0064,0.1134,1.2775,1.3919,1.0207,10.7287
18.506,0.352,-73.099,89.758,0.484,-83.473,10.027,0.156,-81.424,87.451,7.373,-82.531,12.794,0.253,0.0051,0.1144,1.2959,1.4517,1.0727,12.7943
18.9934,0.088,-80.923,89.67,7.077,-82.505,12.616,-1.46,-87.844,87.681,11.29,-86.771,3.599,0.2501,0.0127,0.1234,1.3265,1.3797,1.1284,3.5994
19.0164,0.088,-81.011,89.67,7.077,-82.505,12.616,-1.695,-79.093,87.808,1.038,-82.932,3.49,0.2555,0.0142,0.1221,1.2576,1.3914,1.087,3.4897
19.0497,-0.176,-81.802,89.67,7.868,-83.033,12.351,-0.626,-70.37,85.064,-5.185,-83.353,5.004,0.261,0.0094,0.1252,1.2646,1.3827,1.0988,5.0043
19.0936,-0.879,-82.681,89.67,8.747,-84.0,11.222,-1.259,-69.592,86.833,-7.674,-83.072,4.217,0.2608,0.0114,0.1206,1.2512,1.4013,1.1109,4.2167
19.1165,-0.879,-82.418,89.231,8.22,-83.648,9.761,-3.411,-78.666,94.86,-11.406,-82.09,4.729,0.2573,0.0227,0.1187,1.1856,1.3276,1.104,4.7287
19.1498,-0.791,-80.571,88.527,6.198,-83.385,9.296,-2.466,-75.578,85.216,-0.749,-79.697,4.63,0.258,0.0187,0.1285,1.2064,1.3966,1.0397,4.6298
19.1831,-1.846,-78.022,88.527,2.066,-83.209,9.296,-1.872,-59.335,86.318,-18.136,-78.633,4.104,0.2665,0.0161,0.1175,1.1908,1.4066,1.0353,4.1039
19.2268,-2.549,-76.264,88.879,-2.242,-81.802,9.296,-2.079,-40.855,82.967,-34.357,-84.143,4.367,0.2775,0.0178,0.1191,1.2587,1.3437,1.1067,4.3675
19.25,-2.374,-74.154,88.791,-7.077,-80.659,9.296,-2.481,-58.254,84.837,-17.922,-81.496,4.284,0.267,0.0193,0.1207,1.2328,1.3765,1.0646,4.2843
19.2833,-2.374,-71.253,87.912,-12.264,-80.747,9.296,-2.325,-75.407,91.351,-7.566,-81.821,3.542,0.2555,0.0176,0.116,1.2295,1.3777,1.0812,3.5423
19.327,-2.286,-67.297,87.209,-17.978,-81.363,9.296,-1.274,-57.55,87.704,-23.507,-79.676,4.349,0.2676,0.0135,0.1179,1.1854,1.3629,1.0626,4.3495
19.3502,-1.846,-63.956,86.857,-22.637,-81.538,9.296,-2.119,-65.853,94.909,-24.229,-83.552,5.756,0.2577,0.016,0.1128,1.2035,1.3275,1.1471,5.7564
19.3834,-1.758,-61.319,88.0,-25.363,-81.099,9.296,-0.396,-78.715,91.946,-5.312,-80.097,5.14,0.2547,0.0088,0.119,1.2055,1.3786,1.0596,5.1396
19.4272,-1.67,-60.703,89.758,-25.89,-80.484,9.296,0.127,-69.307,88.09,-10.327,-80.581,4.183,0.2624,0.0066,0.1194,1.2192,1.382,1.0621,4.1829
19.4504,-2.022,-61.582,92.308,-24.571,-80.484,9.296,-0.859,-69.772,88.043,-7.79,-81.555,5.382,0.2617,0.0116,0.1139,1.2588,1.3974,1.0505,5.3822
19.4837,-1.143,-64.308,93.011,-20.967,-80.396,9.296,0.756,-68.875,87.535,-8.041,-81.814,4.92,0.2621,0.0053,0.1142,1.2796,1.3768,1.0342,4.9204
19.5263,-0.879,-67.033,92.923,-16.571,-80.835,9.296,-1.499,-79.027,88.736,2.137,-84.862,5.341,0.2564,0.0148,0.1143,1.3241,1.3826,1.0711,5.3412
19.5506,-0.791,-67.912,91.429,-12.967,-81.187,9.296,-2.781,-43.294,82.869,-30.026,-84.162,6.065,0.2732,0.0218,0.1138,1.2914,1.3469,1.0632,6.0653
19.5839,-0.791,-68.703,90.374,-9.451,-82.154,9.296,-0.946,-77.252,89.626,-1.46,-81.341,6.245,0.2551,0.0119,0.1139,1.2608,1.4044,1.0436,6.2455
19.6276,-1.67,-69.143,89.407,-5.67,-82.945,9.296,-2.875,-56.819,85.834,-18.519,-86.2,6.005,0.2666,0.0167,0.1124,1.28,1.4242,1.1792,6.0053
19.6506,-1.846,-69.407,88.44,-3.648,-82.681,9.296,-1.425,-69.068,86.04,-5.269,-83.009,7.94,0.2605,0.0131,0.1154,1.2824,1.4185,1.0764,7.9401
19.6841,-1.758,-69.67,88.352,-3.473,-82.33,9.296,-1.402,-79.435,94.85,-8.055,-83.047,8.356,0.2529,0.0147,0.1132,1.2487,1.3311,1.0781,8.3564
19.7278,-1.846,-69.319,88.352,-4.44,-82.593,9.363,-1.695,-66.703,91.581,-16.255,-84.95,9.331,0.26,0.0136,0.1101,1.2664,1.3714,1.1389,9.3314
19.751,-1.758,-69.495,88.703,-6.022,-82.857,9.695,-2.267,-65.724,87.802,-9.932,-86.15,10.555,0.2602,0.0177,0.1087,1.3374,1.3864,1.0919,10.5546
19.7843,-1.67,-69.758,90.198,-8.396,-83.56,10.027,-1.304,-68.739,85.967,-5.717,-83.574,10.054,0.2607,0.0149,0.116,1.3102,1.3736,1.0406,10.054
19.828,-1.67,-68.791,91.253,-10.769,-84.703,10.359,-1.104,-72.831,91.018,-8.106,-83.415,10.434,0.2564,0.0116,0.1108,1.2703,1.3919,1.0951,10.434
19.8512,-1.495,-67.209,90.989,-12.176,-84.791,10.425,-0.362,-55.439,82.365,-14.007,-84.41,10.75,0.2685,0.0095,0.1124,1.3301,1.4032,1.0639,10.7501
19.8844,-1.319,-67.121,90.637,-11.912,-84.088,10.491,-1.867,-63.83,84.668,-9.17,-84.402,10.727,0.2639,0.0171,0.1155,1.3184,1.3761,1.0558,10.7274
19.9284,-1.319,-67.033,90.11,-11.209,-84.088,10.624,-2.063,-64.646,93.522,-20.468,-83.055,11.117,0.2579,0.0171,0.1052,1.2521,1.358,1.0834,11.1167
19.9514,-1.231,-65.89,88.615,-10.505,-84.264,10.624,-1.02,-65.617,86.733,-7.965,-85.744,11.312,0.2609,0.0107,0.1082,1.3357,1.4208,1.1056,11.3122
19.9848,-1.582,-65.011,87.912,-10.066,-83.912,10.823,-1.293,-73.429,90.539,-6.084,-85.993,12.652,0.2555,0.0133,0.1105,1.3267,1.3674,1.0988,12.6524
20.0287,-1.758,-65.363,88.264,-9.451,-83.824,11.089,-0.056,-64.657,85.405,-6.48,-83.852,12.335,0.2618,0.008,0.1072,1.3404,1.4234,1.0436,12.3351
20.0517,-1.67,-66.857,89.231,-7.956,-84.791,11.687,-0.631,-60.824,85.329,-11.861,-83.54,13.438,0.2643,0.0097,0.1095,1.3055,1.4221,1.0731,13.4381
20.085,-1.055,-68.703,90.462,-7.429,-84.967,12.019,-0.88,-76.799,88.227,0.935,-82.809,12.499,0.2557,0.0121,0.113,1.303,1.403,1.0393,12.499
20.1267,-0.527,-69.407,90.462,-8.308,-84.527,12.417,1.07,-54.359,87.2,-21.651,-82.689,13.918,0.2661,0.0039,0.1059,1.2998,1.3745,1.0413,13.9181
20.1519,-0.527,-69.934,90.198,-9.626,-83.912,12.483,-1.871,-57.578,86.761,-17.716,-85.93,14.615,0.2646,0.018,0.1084,1.346,1.3459,1.0601,14.6153
20.1852,-0.527,-70.198,90.11,-11.209,-83.56,13.081,-1.044,-61.484,84.304,-9.115,-83.79,15.539,0.2641,0.0125,0.1097,1.3299,1.4189,1.0471,15.5389
20.2288,0.0,-69.231,89.758,-13.67,-83.824,13.612,-0.439,-55.78,86.692,-18.789,-83.027,15.81,0.266,0.0109,0.1051,1.3143,1.3833,1.0312,15.8098
20.2522,-0.088,-66.593,88.879,-15.165,-84.615,14.409,-0.31,-84.012,94.745,-0.188,-85.283,15.917,0.2485,0.0097,0.1086,1.3211,1.3525,1.0833,15.9168
20.2854,-0.44,-63.253,87.824,-16.396,-84.176,14.94,-1.634,-75.66,92.394,-6.068,-86.818,16.874,0.2531,0.0145,0.1092,1.3283,1.3639,1.1223,16.8744
20.3292,-0.703,-60.088,87.736,-16.659,-83.648,15.405,-1.64,-54.899,84.534,-18.206,-86.818,17.802,0.2685,0.016,0.1105,1.3499,1.3525,1.0891,17.8018
20.3523,-0.879,-58.242,89.495,-15.341,-84.352,16.135,-1.355,-64.704,84.338,-8.288,-84.575,16.697,0.2665,0.0135,0.1169,1.3065,1.3895,1.0846,16.6968
20.3856,-1.407,-57.626,91.165,-13.582,-85.495,16.866,-0.107,-73.73,88.01,-0.754,-85.321,17.662,0.2602,0.0084,0.1086,1.3541,1.3986,1.067,17.6621
20.4293,-1.407,-57.802,91.692,-11.209,-85.758,16.866,-1.067,-76.046,86.486,0.821,-82.994,17.862,0.2649,0.0134,0.1179,1.2905,1.3875,1.0497,17.8622
20.4525,-0.967,-59.736,90.901,-8.22,-85.319,16.733,-0.498,-66.425,89.924,-12.476,-84.199,18.698,0.2628,0.0112,0.1061,1.3119,1.3637,1.0563,18.6975
20.4866,-0.791,-63.253,89.582,-4.791,-85.055,17.264,-0.932,-76.456,90.201,-2.503,-84.527,19.106,0.2575,0.0125,0.1115,1.3138,1.3719,1.0653,19.1062
20.5302,-0.615,-66.945,89.319,-2.33,-84.088,17.862,-0.442,-52.073,81.732,-17.278,-86.476,19.783,0.2723,0.0105,0.1129,1.3604,1.3634,1.0744,19.783
20.5535,-0.879,-70.286,90.11,-1.802,-84.615,18.327,-0.9,-47.18,78.933,-17.909,-84.607,21.74,0.2735,0.0116,0.1134,1.3397,1.4194,1.0618,21.7402
20.5867,-0.703,-72.396,90.901,-3.033,-85.582,18.858,0.226,-37.223,79.285,-30.526,-84.951,20.695,0.278,0.0076,0.1144,1.3299,1.3667,1.0704,20.6951
20.6304,-0.703,-72.571,90.549,-6.549,-85.67,19.854,-2.08,-58.968,84.858,-15.115,-85.884,21.045,0.2654,0.0171,0.1157,1.3197,1.3662,1.0982,21.0445
21.0812,-2.11,-59.121,86.154,-15.341,-85.846,20.784,-3.135,-97.203,89.823,22.511,-87.676,19.039,0.2425,0.0177,0.1189,1.3611,1.4694,1.1446,19.0387
21.1047,-2.11,-59.121,86.154,-15.341,-85.846,20.784,-3.506,-79.197,85.76,7.896,-87.524,19.998,0.2546,0.022,0.1167,1.3693,1.4281,1.109,19.9983
21.1377,-2.198,-59.736,86.418,-14.462,-86.374,20.319,-3.788,-78.28,86.746,6.188,-88.092,20.347,0.2538,0.0233,0.1133,1.3802,1.4239,1.1103,20.347
21.1814,-2.637,-61.934,87.209,-11.736,-87.165,19.854,-2.845,-79.398,85.71,10.049,-88.509,19.45,0.2533,0.0198,0.1113,1.4191,1.4225,1.0796,19.4499
21.2046,-3.253,-65.626,87.297,-7.253,-87.165,20.186,-3.898,-71.379,85.761,-3.292,-89.427,20.895,0.2595,0.0239,0.12,1.355,1.3665,1.1598,20.8953
21.2378,-3.341,-70.198,87.297,-1.978,-87.956,20.186,-2.205,-63.759,84.193,-6.778,-86.787,21.018,0.2627,0.0186,0.1118,1.3715,1.3842,1.0684,21.0177
21.2815,-3.341,-73.714,87.121,2.593,-88.484,20.053,-2.056,-60.795,79.339,-3.681,-86.042,22.101,0.2658,0.0151,0.1183,1.3515,1.4549,1.1047,22.1007
21.3047,-3.516,-76.0,87.033,5.758,-88.22,20.518,-4.269,-84.535,84.778,15.332,-89.582,22.621,0.2482,0.0247,0.1175,1.4092,1.4261,1.1176,22.6206
21.3381,-2.989,-75.648,85.714,6.989,-87.341,21.182,-4.421,-76.596,87.729,0.214,-88.868,21.36,0.2553,0.0246,0.1175,1.3362,1.3976,1.1737,21.3604
21.3818,-2.989,-74.857,83.692,7.429,-87.253,21.713,-4.163,-78.556,81.887,11.241,-90.334,21.647,0.2529,0.0245,0.1239,1.4084,1.4061,1.137,21.6467
21.4049,-3.604,-75.121,83.165,7.868,-88.132,21.514,-2.662,-86.087,86.612,11.969,-89.434,21.245,0.2482,0.0171,0.1226,1.3731,1.3895,1.1592,21.2452
21.4382,-3.868,-76.44,83.692,8.22,-89.099,21.58,-3.796,-72.528,78.098,8.238,-89.646,21.182,0.2583,0.0257,0.1314,1.4095,1.3614,1.0927,21.1819
21.4804,-3.78,-78.549,84.835,9.626,-89.275,21.315,-3.36,-83.583,85.838,10.082,-90.453,21.957,0.2505,0.0203,0.1232,1.3829,1.3806,1.1714,21.9567
21.5051,-3.516,-80.835,86.154,10.769,-89.187,21.248,-3.287,-77.542,83.07,7.098,-87.51,21.597,0.2548,0.0194,0.1254,1.3358,1.4264,1.1524,21.5971
21.5384,-3.516,-81.89,86.418,10.593,-89.714,21.381,-4.034,-63.289,81.328,-7.89,-87.802,22.053,0.2656,0.0246,0.1295,1.3157,1.3757,1.1576,22.0533
21.5821,-3.341,-81.275,85.89,9.275,-89.363,21.448,-2.678,-64.129,84.878,-11.303,-88.966,23.249,0.2659,0.0178,0.1235,1.3235,1.3634,1.1934,23.2493
21.6054,-3.429,-78.813,85.099,6.901,-88.747,21.647,-2.078,-64.235,81.649,-5.561,-89.236,22.135,0.265,0.0168,0.1242,1.3743,1.3615,1.1413,22.1348
21.6386,-3.429,-74.681,84.484,2.593,-88.923,22.311,-3.095,-68.168,80.716,-0.394,-87.495,22.848,0.2623,0.0204,0.1269,1.3423,1.3968,1.1309,22.8483
21.6823,-2.989,-70.462,84.396,-1.89,-89.099,22.51,-2.008,-57.865,76.525,-3.687,-86.389,22.759,0.27,0.0171,0.1221,1.3757,1.4172,1.0669,22.7586
21.7055,-3.077,-67.648,83.868,-5.407,-88.659,22.51,-2.706,-63.539,80.616,-5.686,-86.703,23.368,0.2666,0.0181,0.1256,1.317,1.4037,1.1413,23.3684
21.7388,-2.901,-64.923,82.989,-7.165,-87.692,22.576,-2.842,-72.423,81.394,3.391,-87.119,22.794,0.2601,0.0196,0.1273,1.3458,1.3924,1.114,22.794
21.7825,-2.637,-62.901,81.758,-7.253,-87.604,22.776,-2.601,-69.9,83.771,-4.409,-87.111,23.365,0.2618,0.0166,0.1283,1.2919,1.3883,1.1803,23.3654
21.8056,-2.549,-62.637,81.407,-5.582,-87.604,22.776,-2.663,-76.006,85.179,1.394,-88.441,21.849,0.2562,0.0184,0.1268,1.3409,1.3614,1.1517,21.849
21.8389,-2.549,-64.044,82.637,-2.945,-87.604,22.908,-2.416,-57.552,78.664,-9.269,-87.723,22.677,0.2722,0.0171,0.1244,1.3398,1.3978,1.148,22.6773
21.8827,-2.549,-66.857,84.659,-0.835,-87.868,22.709,-2.334,-68.885,83.652,-4.916,-89.754,21.684,0.2638,0.0168,0.1265,1.3494,1.3442,1.1804,21.6836
21.9059,-2.549,-69.758,85.538,-0.308,-87.868,22.311,-1.337,-70.908,80.739,1.167,-86.891,22.914,0.263,0.0148,0.1311,1.3461,1.3431,1.0926,22.914
21.9394,-2.725,-71.868,85.099,-1.275,-88.044,22.244,-2.979,-78.673,86.08,3.437,-89.814,22.471,0.2545,0.0197,0.1244,1.3628,1.3538,1.1653,22.4706
21.9829,-2.549,-72.659,84.484,-2.857,-88.044,22.244,-2.816,-61.739,79.478,-6.54,-89.648,22.795,0.268,0.0196,0.1286,1.3659,1.3587,1.16,22.7952
22.0061,-2.549,-73.275,83.604,-3.385,-88.22,22.444,-2.657,-69.927,82.67,-2.624,-88.97,21.627,0.2622,0.0185,0.129,1.342,1.353,1.1655,21.6272
22.0394,-2.637,-72.835,82.989,-3.648,-88.835,22.51,-3.006,-81.71,81.597,13.098,-87.249,22.509,0.2531,0.0201,0.1303,1.3563,1.3978,1.1089,22.5093
22.0814,-2.637,-71.604,82.725,-4.088,-88.923,22.311,-2.243,-66.766,79.689,-1.158,-90.802,23.059,0.2652,0.017,0.1296,1.3918,1.3525,1.1669,23.0587
22.1064,-2.637,-70.901,82.725,-2.857,-88.396,22.112,-0.997,-70.919,87.34,-8.465,-88.714,23.274,0.2609,0.0127,0.1246,1.3332,1.2917,1.1496,23.2742
22.1397,-2.549,-69.846,82.725,-1.626,-88.132,22.51,-3.791,-63.1,79.383,-5.356,-89.578,23.292,0.2674,0.0234,0.13,1.3523,1.3693,1.1723,23.2921
22.1833,-2.286,-68.703,82.462,-1.451,-88.571,22.776,-5.267,-72.074,80.385,3.404,-90.788,23.166,0.26,0.0283,0.1315,1.3603,1.398,1.2048,23.166
22.2065,-2.11,-67.736,82.637,-2.33,-89.011,22.842,-3.769,-61.275,80.005,-9.354,-89.068,23.23,0.2696,0.0228,0.1313,1.3199,1.3642,1.1919,23.2305
